,Title,Available Globally?,Release Date,Hours Viewed
117,Gilmore Girls: Season 4,Yes,,69.800.000
118,"Divorce Attorney Shin: Limited Series // ___, __: ____ ___",Yes,2023-03-04,69.500.000
119,Stranger Things 2,Yes,2017-10-27,69.200.000
120,Hometown Cha-Cha-Cha: Season 1 // ___ ___: __ 1,Yes,2021-08-28,69.000.000
121,Love Is Blind: Season 3,Yes,2022-10-19,68.900.000
122,Kill Boksoon // ___,Yes,2023-03-31,68.500.000
123,Red Notice,Yes,2021-11-12,68.100.000
124,Viking Wolf // Vikingulven,Yes,2023-02-03,67.500.000
125,Designated Survivor: Season 2,Yes,2017-09-28,67.200.000
126,Bebefinn: Season 1,Yes,,67.100.000
127,Stranger Things 3,Yes,2019-07-04,67.000.000
128,SingleÕs Inferno: Season 2 // ____: __ 2,Yes,2022-12-13,65.900.000
129,The Witcher: Blood Origin: Limited Series,Yes,2022-12-25,65.300.000
130,The Nurse: Limited Series // Sygeplejersken: Miniserie,Yes,2023-04-27,65.200.000
131,The Watcher: Season 1,Yes,2022-10-13,64.400.000
132,Suits (2011): Season 4,Yes,,64.200.000
133,Gilmore Girls: Season 6,Yes,,63.900.000
134,The Tailor: Season 1 // Terzi: 1. Sezon,Yes,2023-05-02,63.900.000
135,DAHMER: Monster: The Jeffrey Dahmer Story,Yes,2022-09-21,63.500.000
136,The Sea Beast,Yes,2022-07-08,62.700.000
137,Harry & Meghan: Limited Series,Yes,2022-12-08,62.000.000
138,My Dad the Bounty Hunter: Season 1,Yes,2023-02-09,61.800.000
139,Dog Gone,Yes,2023-01-13,61.600.000
140,Maid: Limited Series,Yes,2021-10-01,61.500.000
141,Never Have I Ever: Season 1,Yes,2020-04-27,61.000.000
142,Eva Lasting: Season 1 // La primera vez: Temporada 1,Yes,2023-02-15,60.600.000
143,Unseen: Season 1,Yes,2023-03-29,60.100.000
144,Narcos: Season 1,Yes,2015-08-28,59.900.000
145,MADOFF: The Monster of Wall Street: Limited Series,Yes,2023-01-04,59.600.000
146,The Witcher: Season 2,Yes,2021-12-17,59.300.000
147,Sky Rojo: Season 3,Yes,2023-01-13,58.500.000
148,Never Have I Ever: Season 3,Yes,2022-08-12,58.300.000
149,The Gray Man,Yes,2022-07-22,58.300.000
150,Barbie Life in the Dreamhouse: Season 1,Yes,,57.400.000
151,The Sandman: Season 1,Yes,2022-08-05,56.700.000
152,True Spirit,Yes,2023-02-03,56.700.000
153,Gilmore Girls: Season 7,Yes,,56.500.000
154,The Strays,Yes,2023-02-22,56.500.000
155,Suits (2011): Season 5,Yes,,56.400.000
156,The Empress: Season 1 // Die Kaiserin: Staffel 1,Yes,2022-09-29,56.000.000
157,Outlast: Season 1,Yes,2023-03-10,55.500.000
158,Jane The Virgin: Season 1,Yes,,55.200.000
159,The Circle: Season 5,Yes,2022-12-28,54.400.000
160,The Ultimatum: Queer Love: Season 1,Yes,2023-05-24,53.800.000
161,Never Have I Ever: Season 2,Yes,2021-07-15,53.700.000
162,ÁQue viva Mxico!,Yes,2023-05-11,53.500.000
163,Emily in Paris: Season 2,Yes,2021-12-22,53.300.000
164,Full Swing: Season 1,Yes,2023-02-15,53.100.000
165,Welcome to Eden: Season 1 // Bienvenidos a Edn: Temporada 1,Yes,2022-05-06,53.000.000
166,We Can Be Heroes,Yes,2020-12-25,52.800.000
167,Arnold: Limited Series,Yes,2023-06-07,52.500.000
168,The King's Affection: Season 1 // __: __ 1,Yes,2021-10-11,52.400.000
169,Missing: Dead or Alive?: Season 1,Yes,2023-05-10,52.200.000
170,Bodyguard: Season 1,Yes,2018-10-24,52.000.000
171,1899: Season 1,Yes,2022-11-17,51.800.000
172,A Tourist's Guide to Love,Yes,2023-04-21,51.800.000
173,It's Okay to Not Be Okay: Season 1 // _____ ___: __ 1,Yes,2020-06-20,51.800.000
174,Faraway,Yes,2023-03-08,51.700.000
175,Blood & Gold,Yes,2023-05-26,51.600.000
176,I Am Georgina: Season 2 // Soy Georgina: Temporada 2,Yes,2023-03-24,51.600.000
177,The Last Kingdom: Season 1,Yes,2015-12-28,50.900.000
178,The Endless Night: Limited Series // Todo Dia a Mesma Noite: Minissrie,Yes,2023-01-25,50.800.000
179,Suits (2011): Season 6,Yes,,50.000.000
180,Tin & Tina,Yes,2023-05-26,49.700.000
181,Love Is Blind: Brazil: Season 2 // Casamento s Cegas: Brasil: Temporada 2,Yes,2022-12-28,49.300.000
182,VINLAND SAGA: Season 1 // _________: ____1,Yes,,49.300.000
183,The Lincoln Lawyer: Season 1,Yes,2022-05-13,49.200.000
184,Cobra Kai: Season 5,Yes,2022-09-09,48.900.000
185,Orange Is the New Black: Season 1,Yes,2013-07-11,48.800.000
186,Emily in Paris: Season 1,Yes,2020-10-02,48.300.000
187,The Magician's Elephant,Yes,2023-03-17,48.300.000
188,Suits (2011): Season 7,Yes,,48.100.000
189,American Manhunt: The Boston Marathon Bombing: Limited Series,Yes,2023-04-12,47.900.000
190,Twenty Five Twenty One: Season 1 // ____ ____: __ 1,Yes,2022-02-12,47.800.000
191,JUNG_E // __,Yes,2023-01-20,47.100.000
192,The School for Good and Evil,Yes,2022-10-19,46.900.000
193,Rana Naidu: Season 1 // ____ _____: ____ 1,Yes,2023-03-10,46.300.000
194,From Scratch: Limited Series,Yes,2022-10-21,46.200.000
195,Bake Squad: Season 2,Yes,2023-01-20,46.100.000
196,Under the Queen's Umbrella: Limited Series // __: ____ ___,Yes,2022-10-15,46.100.000
197,Ganglands: Season 2 // Braqueurs : La srie: SaisonÊ2,Yes,2023-02-17,46.000.000
198,The Queen's Gambit: Limited Series,Yes,2020-10-23,45.900.000
199,Virgin River: Season 4,Yes,2022-07-20,45.900.000
200,Gabby's Dollhouse: Season 7,Yes,2023-03-20,45.800.000
201,A Beautiful Life,Yes,2023-06-01,45.700.000
202,Copycat Killer: Season 1 // ___: _ 1 _,Yes,2023-03-31,45.600.000
203,Transatlantic: Limited Series,Yes,2023-04-07,45.300.000
204,Money Heist: Part 5 // La casa de papel: Parte 5,Yes,2021-09-03,44.700.000
205,In Love All Over Again: Season 1 // Todas las veces que nos enamoramos: Season 1,Yes,2023-02-14,43.800.000
206,PIECES OF HER: Season 1,Yes,2022-03-04,43.800.000
207,Seinfeld: Season 6,Yes,,43.200.000
208,Inside Man: Season 1,Yes,2022-10-31,43.100.000
209,Through My Window 2: Across the Sea // A travs de mi ventana 2: A travs del mar,Yes,2023-06-23,42.900.000
210,CoComelon: Season 6,Yes,2022-09-05,42.800.000
211,Seinfeld: Season 4,Yes,,42.800.000
212,Valeria: Season 3,Yes,2023-06-02,42.800.000
213,Purple Hearts,Yes,2022-07-29,42.700.000
214,The Last Kingdom: Season 3,Yes,2018-11-19,42.700.000
215,Waco: American Apocalypse: Limited Series,Yes,2023-03-22,42.700.000
216,Gabby's Dollhouse: Season 2,Yes,2021-08-10,42.600.000
217,Too Hot to Handle: Season 4,Yes,2022-12-07,42.600.000
218,Guillermo del ToroÕs Pinocchio,Yes,2022-12-09,42.500.000
219,Unlocked // _____ _____ ___,Yes,2023-02-17,42.500.000
220,The Crown: Season 1,Yes,2016-11-04,42.400.000
221,Blippi's Adventures: Season 1,Yes,,42.100.000
222,"Pamela, a love story",Yes,2023-01-31,41.800.000
223,Chor Nikal Ke Bhaga // ___ ____ __ ____,Yes,2023-03-24,41.700.000
224,Seinfeld: Season 7,Yes,,41.700.000
225,Wellmania: Season 1,Yes,2023-03-29,41.300.000
226,Seinfeld: Season 3,Yes,,41.200.000
227,The Creature Cases: Chapter 1,Yes,2022-04-12,41.200.000
228,Maestro in Blue: Season 1 // Maestro: Season 1,Yes,2022-12-18,41.100.000
229,McGREGOR FOREVER: Limited Series,Yes,2023-05-17,41.000.000
230,El Chapo: Season 1,Yes,2017-06-16,40.600.000
231,Guillermo del Toro's Cabinet of Curiosities: Season 1,Yes,2022-10-25,40.300.000
232,Seinfeld: Season 5,Yes,,40.300.000
233,Unsolved Mysteries: Volume 3,Yes,2022-10-18,40.300.000
234,The Last Kingdom: Season 2,Yes,2017-03-20,40.200.000
235,Too Hot to Handle: Germany: Season 1,Yes,2023-02-28,40.200.000
236,Our Planet,Yes,2019-04-05,40.100.000
237,The King: Eternal Monarch: Season 1 // _ _: ___ __: __ 1,Yes,2020-04-17,39.900.000
238,Emergency: NYC: Season 1,Yes,2023-03-29,39.700.000
239,In the Name of God: A Holy Betrayal: Season 1 // __ ___: __ ___ ___: __ 1,Yes,2023-03-03,39.700.000
240,Gabby's Dollhouse: Season 6,Yes,2022-11-01,39.500.000
241,Infiesto,Yes,2023-02-03,39.500.000
242,Ganglands: Season 1 // Braqueurs : La srie: SaisonÊ1,Yes,2021-09-24,39.300.000
243,Trolley: Limited Series // ___: ____ ___,Yes,2022-12-19,39.200.000
244,High Heat: Season 1 // Donde hubo fuego: Season 1,Yes,2022-08-17,39.100.000
245,Ozark: Season 4,Yes,2022-01-21,38.700.000
246,The Hatchet Wielding Hitchhiker,Yes,2023-01-10,38.700.000
247,6 Underground,Yes,2019-12-13,38.600.000
248,Narcos: Season 2,Yes,2016-09-02,38.600.000
249,Mother's Day // Dzie_ Matki,Yes,2023-05-24,38.300.000
250,Orange Is the New Black: Season 2,Yes,2014-06-06,38.300.000
251,El Chapo: Season 2,Yes,2017-12-15,38.200.000
252,Queer Eye: Season 7,Yes,2023-05-12,38.100.000
253,Sleeping Dog: Limited Series // Schlafende Hunde: Miniserie,Yes,2023-06-22,38.000.000
254,Back to the Outback,Yes,2021-12-10,37.600.000
255,Booba: Season 4,Yes,,37.600.000
256,Fauda: Season 1 // _____: ____ 1,Yes,2016-12-02,37.300.000
257,Mr. Sunshine: Season 1 // ___ ___: __ 1,Yes,2018-07-07,37.300.000
258,Money Heist: Part 2 // La casa de papel: Parte 2,Yes,2017-11-30,37.100.000
259,Seinfeld: Season 8,Yes,,36.900.000
260,The Mitchells vs. The Machines,Yes,2021-04-30,36.900.000
261,Glamorous: Season 1,Yes,2023-06-22,36.600.000
262,Meekah: Season 1,Yes,,36.600.000
263,Troll,Yes,2022-12-01,36.600.000
264,Thicker Than Water: Season 1 // Jusqu'ici tout va bien: SaisonÊ1,Yes,2023-04-07,36.300.000
265,Chris Rock: Selective Outrage,Yes,2023-03-04,36.200.000
266,Daughter From Another Mother: Season 3 // Madre solo hay dos: Temporada 3,Yes,2022-12-25,36.200.000
267,Ozark: Season 1,Yes,2017-07-21,36.100.000
268,My Little Pony: Friendship Is Magic: Season 1,Yes,,36.000.000
269,Ancient Apocalypse: Season 1,Yes,2022-11-11,35.800.000
270,Virgin River: Season 1,Yes,2019-12-06,35.800.000
271,Queen Cleopatra: Limited Series,Yes,2023-05-10,35.700.000
272,The Boss Baby: Back in the Crib: Season 1,Yes,2022-05-19,35.500.000
273,Wish Dragon,Yes,2021-06-11,35.400.000
274,Unstable: Season 1,Yes,2023-03-30,35.300.000
275,Bling Empire: New York: Season 1,Yes,2023-01-20,35.200.000
276,Hospital Playlist: Season 1 // ____ ____: __ 1,Yes,2020-03-12,35.000.000
277,Keep Breathing: Limited Series,Yes,2022-07-28,35.000.000
278,Inventing Anna: Limited Series,Yes,2022-02-11,34.800.000
279,Pressure Cooker: Season 1,Yes,2023-01-06,34.300.000
280,CoComelon: Season 8,Yes,2023-04-10,34.200.000
281,Cobra Kai: Season 1,Yes,2020-08-28,34.000.000
282,How to Get Rich: Season 1,Yes,2023-04-18,33.900.000
283,Forecasting Love and Weather: Season 1 // ___ ___: ____ ___ _: __ 1,Yes,2022-02-12,33.800.000
284,Gabby's Dollhouse: Season 4,Yes,2022-02-01,33.800.000
285,Half Bad: The Bastard Son & The Devil Himself: Season 1,Yes,2022-10-28,33.800.000
286,Money Heist: Part 3 // La casa de papel: Parte 3,Yes,2019-07-19,33.700.000
287,Seinfeld: Season 9,Yes,,33.700.000
288,White Noise,Yes,2022-12-30,33.500.000
289,Barbecue Showdown: Season 2,Yes,2023-05-26,33.400.000
290,The Witcher: Season 3,Yes,2023-06-29,33.400.000
291,The Crown: Season 2,Yes,2017-12-08,33.300.000
292,The Crown: Season 4,Yes,2020-11-15,33.100.000
293,Through My Window // A travs de mi ventana,Yes,2022-02-04,33.000.000
294,Gabby's Dollhouse: Season 3,Yes,2021-10-19,32.900.000
295,"Nevertheless,: Season 1 // _____,: __ 1",Yes,2021-06-19,32.800.000
296,Good Girls: Season 1,Yes,2018-07-03,32.700.000
297,Orange Is the New Black: Season 3,Yes,2015-06-11,32.600.000
298,Devil in Ohio: Limited Series,Yes,2022-09-02,32.400.000
299,Our Planet II,Yes,2023-06-14,32.400.000
300,My Name: Season 1 // __ __: __ 1,Yes,2021-10-15,32.300.000
301,Cobra Kai: Season 4,Yes,2021-12-31,32.100.000
302,High Water: Season 1 // Wielka Woda: Sezon 1,Yes,2022-10-05,32.100.000
303,Hospital Playlist: Season 2 // ____ ____: __ 2,Yes,2021-06-17,32.100.000
304,Me Time,Yes,2022-08-26,32.100.000
305,My Name Is Vendetta // Il Mio Nome  Vendetta,Yes,2022-11-30,32.100.000
306,The Fabulous: Season 1 // _ ____: __ 1,Yes,2022-12-23,32.000.000
307,Oddballs: Season 1,Yes,2022-10-07,31.900.000
308,Unauthorized Living: Season 1 // Vivir sin permiso: Temporada 1,Yes,2019-02-08,31.800.000
309,13 Reasons Why: Season 1,Yes,2017-03-31,31.700.000
310,Our Beloved Summer: Season 1 // _ _ ___: __ 1,Yes,2021-12-06,31.600.000
311,Good Girls: Season 4,Yes,2021-08-31,31.500.000
312,Turn of the Tide: Season 1 // Rabo de Peixe: Temporada 1,Yes,2023-05-26,31.500.000
313,Good Girls: Season 2,Yes,2019-05-31,31.300.000
314,Mission Majnu // ____ ____,Yes,2023-01-20,31.200.000
315,El Chapo: Season 3,Yes,2018-07-27,31.100.000
316,Rise of Empires: Ottoman: Mehmed vs. Vlad,Yes,2022-12-29,31.100.000
317,Anne with an E: Season 1,Yes,2017-05-12,30.900.000
318,Dead to Me: Season 3,Yes,2022-11-17,30.900.000
319,Still Time // Era ora,Yes,2023-03-16,30.800.000
320,Awaken: Season 1 // __ _: __ 1,Yes,,30.600.000
321,Enola Holmes 2,Yes,2022-11-04,30.600.000
322,Indian Matchmaking: Season 3,Yes,2023-04-21,30.600.000
323,The Umbrella Academy: Season 1,Yes,2019-02-15,30.600.000
324,Break Point: Season 1,Yes,2023-01-13,30.500.000
325,Minions & More Volume 2,Yes,,30.500.000
326,Money Heist: Part 4 // La casa de papel: Parte 4,Yes,2020-04-03,30.400.000
327,Love at First Kiss // Eres t,Yes,2023-03-03,30.300.000
328,Start-Up: Season 1 // ____: __ 1,Yes,2020-10-17,30.300.000
329,Tonight You're Sleeping with Me // Dzisiaj _pisz zeÊmn_,Yes,2023-03-01,30.300.000
330,Narcos: Mexico: Season 1,Yes,2018-11-16,30.200.000
331,In His Shadow // Le Roi des ombres,Yes,2023-03-17,30.100.000
332,Love Is Blind: Brazil: Season 3 // Casamento s Cegas: Brasil: Temporada 3,Yes,2023-06-07,30.100.000
333,Spenser Confidential,Yes,2020-03-06,30.100.000
334,The Adam Project,Yes,2022-03-11,30.100.000
335,Elite: Season 6 // lite: Temporada 6,Yes,2022-11-18,30.000.000
336,The Good Nurse,Yes,2022-10-26,30.000.000
337,Godless: Limited Series,Yes,2017-11-22,29.900.000
338,Flower of Evil: Season 1 // __ _: __ 1,Yes,,29.800.000
339,Invisible City: Season 2 // Cidade Invisvel: Temporada 2,Yes,2023-03-22,29.800.000
340,Anne with an E: Season 2,Yes,2018-07-06,29.700.000
341,Is It Cake?: Season 1,Yes,2022-03-18,29.700.000
342,The Crown: Season 3,Yes,2019-11-17,29.600.000
343,The Midnight Club: Season 1,Yes,2022-10-07,29.600.000
344,Fate: The Winx Saga: Season 2,Yes,2022-09-16,29.500.000
345,Invisible City: Season 1 // Cidade Invisvel: Temporada 1,Yes,2021-02-05,29.500.000
346,Itaewon Class: Season 1 // ___ ___: __ 1,Yes,2020-01-31,29.500.000
347,YES DAY,Yes,2021-03-12,29.400.000
348,You Do You // Merve Klt,Yes,2023-06-09,29.400.000
349,A Girl and an Astronaut: Season 1 // Dziewczyna iÊkosmonauta: Sezon 1,Yes,2023-02-17,29.300.000
350,Close to Home: Murder in the Coalfield: Season 1 // Lauchhammer - Tod in der Lausitz: Staffel 1,Yes,,29.300.000
351,Designated Survivor: Season 3,Yes,2019-06-07,29.200.000
352,Echoes: Limited Series,Yes,2022-08-19,29.200.000
353,Sharkdog: Season 1,Yes,2021-09-03,29.200.000
354,Day Shift,Yes,2022-08-12,29.000.000
355,The Man from Toronto,Yes,2022-06-24,28.900.000
356,The Irishman,Yes,2019-11-27,28.800.000
357,The Swimmers,Yes,2022-11-23,28.800.000
358,Virgin River: Season 3,Yes,2021-07-09,28.700.000
359,Cobra Kai: Season 2,Yes,2020-08-28,28.600.000
360,Lost in Space: Season 1,Yes,2018-04-13,28.600.000
361,Princess Power: Season 1,Yes,2023-01-30,28.600.000
362,Sky Rojo: Season 1,Yes,2021-03-19,28.600.000
363,Trollhunters: Tales of Arcadia: Part 1,Yes,2016-12-23,28.500.000
364,Cobra Kai: Season 3,Yes,2021-01-01,28.400.000
365,Fauda: Season 2 // _____: ____ 2,Yes,2018-05-24,28.400.000
366,Tex Mex Motors: Season 1,Yes,2023-06-09,28.300.000
367,Virgin River: Season 2,Yes,2020-11-27,28.300.000
368,Army of Thieves,Yes,2021-10-29,28.100.000
369,The Old Guard,Yes,2020-07-10,28.100.000
370,Workin' Moms: Season 1,Yes,2019-01-04,28.100.000
371,Gymnastics Academy: A Second Chance: Season 1,Yes,2022-09-16,28.000.000
372,Orange Is the New Black: Season 4,Yes,2016-06-17,28.000.000
373,Anne with an E: Season 3,Yes,2020-01-03,27.900.000
374,Cry Babies Magic Tears: Season 2,Yes,,27.900.000
375,How I Became a Gangster // Jak zostalem gangsterem. Historia prawdziwa,Yes,2020-06-01,27.900.000
376,Sex Education: Season 1,Yes,2019-01-11,27.900.000
377,Fauda: Season 3 // _____: ____ 3,Yes,2020-04-16,27.800.000
378,Locke & Key: Season 1,Yes,2020-02-07,27.800.000
379,Our Universe: Limited Series,Yes,2022-11-22,27.800.000
380,Run On: Season 1 // _ _: __ 1,Yes,2020-12-16,27.800.000
381,Class: Season 1 // _____: ____ 1,Yes,2023-02-03,27.700.000
382,Heartbreak High: Season 1,Yes,2022-09-14,27.700.000
383,Hit & Run: Season 1,Yes,2021-08-06,27.600.000
384,MINDHUNTER: Season 1,Yes,2017-10-13,27.600.000
385,The Uncanny Counter: Season 1 // ____ __: __ 1,Yes,2020-11-28,27.600.000
386,Vivo,Yes,2021-08-06,27.500.000
387,Remarriage & Desires: Season 1 // ___ __: __ 1,Yes,2022-07-15,27.400.000
388,Army of the Dead,Yes,2021-05-21,27.300.000
389,Jurassic World Camp Cretaceous: Season 1,Yes,2020-09-18,27.300.000
390,Noise,Yes,2023-03-17,27.300.000
391,Shanty Town: Season 1,Yes,2023-01-20,27.300.000
392,Dynasty: Season 1,Yes,2017-10-12,27.100.000
393,Narcos: Season 3,Yes,2017-09-01,27.100.000
394,Sweet Home: Season 1 // ____: __ 1,Yes,2020-12-18,27.100.000
395,The Imperfects: Season 1,Yes,2022-09-08,27.100.000
396,Tomorrow: Season 1 // __: __ 1,Yes,2022-04-01,27.100.000
397,Unbelievable: Limited Series,Yes,2019-09-13,27.100.000
398,Dark Desire: Season 1 // Oscuro deseo: Temporada 1,Yes,2020-07-15,27.000.000
399,Little Baby Bum: Nursery Rhyme Friends: Season 2,Yes,,27.000.000
